
26-03-2021 00:40 Result for search in session: 

n.	#rank	Company name		 Country
#1	#3 	Samsung Electronics 	Semiconductors 	South Korea
#2	#8 	China Mobile 	Telecommunications services 	Hong Kong
#3	#11 	Alibaba 	Internet & Catalog Retail 	China
#4	#13 	Softbank 	Telecommunications services 	Japan
#5	#15 	Tencent Holdings 	Computer Services 	China
#6	#16 	Nippon Telegraph & Tel 	Telecommunications services 	Japan
#7	#19 	Deutsche Telekom 	Telecommunications services 	Germany
#8	#20 	Taiwan Semiconductor 	Semiconductors 	Taiwan
#9	#21 	KDDI 	Telecommunications services 	Japan
#10	#22 	SAP 	Software & Programming 	Germany
#11	#23 	Telefonica 	Telecommunications services 	Spain
#12	#24 	America Movil 	Telecommunications services 	Mexico
#13	#25 	Hon Hai Precision 	Electronics 	Taiwan
#14	#27 	Orange 	Telecommunications services 	France
#15	#28 	China Telecom 	Telecommunications services 	China
#16	#29 	SK Hynix 	Semiconductors 	South Korea
#17	#30 	Accenture 	Computer Services 	Ireland
#18	#35 	China Unicom 	Telecommunications services 	Hong Kong
#19	#37 	BCE 	Telecommunications services 	Canada
#20	#38 	Tata Consultancy Services 	Computer Services 	India
#21	#40 	BT Group 	Telecommunications services 	United Kingdom
#22	#41 	Mitsubishi Electric 	Electrical Equipment 	Japan
#23	#42 	Canon 	Business Products & Supplies 	Japan
#24	#44 	Saudi Telecom 	Telecommunications services 	Saudi Arabia
#25	#45 	JD.com 	Internet & Catalog Retail 	China
#26	#48 	Philips 	Health Care Equipment & Svcs 	Netherlands
#27	#49 	Etisalat 	Telecommunications services 	United Arab Emirates
#28	#50 	Baidu 	Computer Services 	China
#29	#51 	ASML Holding 	Semiconductors 	Netherlands
#30	#54 	Recruit Holdings 	Business & Personal Services 	Japan
#31	#55 	SingTel 	Telecommunications services 	Singapore
#32	#57 	Xiaomi 	- 	China
#33	#58 	Telstra 	Telecommunications services 	Australia
#34	#60 	TE Connectivity 	Electronics 	Switzerland
#35	#61 	SK Holdings 	Oil & Gas Operations 	South Korea
#36	#62 	Murata Manufacturing 	Electronics 	Japan
#37	#66 	Telenor 	Telecommunications services 	Norway
#38	#67 	Vodafone 	Telecommunications services 	United Kingdom
#39	#68 	SK Telecom 	Telecommunications services 	South Korea
#40	#69 	Vivendi 	Telecommunications services 	France
#41	#70 	Naspers 	Broadcasting & Cable 	South Africa
#42	#71 	Infosys 	Computer Services 	India
#43	#72 	China Tower Corp. 	- 	China
#44	#73 	Swisscom 	Telecommunications services 	Switzerland
#45	#76 	Rogers Communications 	Telecommunications services 	Canada
#46	#77 	Nintendo 	Recreational Products 	Japan
#47	#78 	Kyocera 	Electronics 	Japan
#48	#79 	NXP Semiconductors 	Semiconductors 	Netherlands
#49	#81 	Rakuten 	Internet & Catalog Retail 	Japan
#50	#82 	Altice Europe 	Broadcasting & Cable 	Netherlands
#51	#83 	TELUS 	Telecommunications services 	Canada
#52	#84 	Capgemini 	Computer Services 	France
#53	#89 	Legend Holding 	Computer Hardware 	China
#54	#90 	Lenovo Group 	Computer Hardware 	Hong Kong
#55	#91 	NetEase 	Computer Services 	China
#56	#92 	Tokyo Electron 	Semiconductors 	Japan
#57	#93 	Keyence 	Electronics 	Japan
#58	#94 	Telkom Indonesia 	Telecommunications services 	Indonesia
#59	#95 	Nokia 	Communications Equipment 	Finland
#60	#97 	Ericsson 	Communications Equipment 	Sweden
#61	#99 	Fujitsu 	Computer Hardware 	Japan
